OFFSET_X,OFFSET_Y,SSLOC_X,SSLOC_Y,SSLOC_Z,SRC_X,SRC_Y,SRC_Z,RCV_X,RCV_Y,RCV_Z
-3000,-300,13976,19575,2263,11875,21050,0,8875,20750,0
-3000,-300,13818,19272,2218,13075,21050,0,10075,20750,0
-3000,-300,13651,18223,2051,13225,18650,0,10225,18350,0
-3000,-300,13855,19002,2138,13225,20450,0,10225,20150,0
-3000,-300,13538,18739,2173,13525,20450,0,10525,20150,0
-3000,-300,13760,19107,2308,12775,21050,0,9775,20750,0
-3000,-300,13896,19490,2339,11575,21050,0,8575,20750,0
-3000,-300,13277,17934,2490,12625,18650,0,9625,18350,0
-3000,-300,14088,19721,2329,11725,21650,0,8725,21350,0
-3000,-300,13698,18946,2246,13075,20450,0,10075,20150,0
-3000,-300,13306,17610,2102,12625,18650,0,9625,18350,0
-3000,-300,13342,17590,2106,12775,18050,0,9775,17750,0
-3000,-300,13323,17660,2162,12775,18650,0,9775,18350,0
-2700,-300,12832,15845,1695,13225,16250,0,10525,15950,0
-2700,-300,13057,16441,1861,13075,16850,0,10375,16550,0
-2700,-300,13071,16447,1776,13225,16850,0,10525,16550,0
-2700,-300,13092,16292,1710,12775,16850,0,10075,16550,0
-2700,-300,12989,16389,1707,10375,17450,0,7675,17150,0
-2700,-300,13054,16260,1806,12475,16850,0,9775,16550,0
-2700,-300,13195,16981,2030,11725,16850,0,9025,16550,0
-2700,-300,13833,18311,1390,15175,17450,0,12475,17150,0
-2700,-300,13126,16586,1674,13675,17450,0,10975,17150,0
-2700,-300,13115,16955,2095,11875,17450,0,9175,17150,0
-2700,-300,13185,16807,1941,12175,17450,0,9475,17150,0
-2700,-300,14205,19323,1862,13675,19250,0,10975,18950,0
-2700,-300,14386,19261,1551,14425,19250,0,11725,18950,0
-2700,-300,14090,19408,1813,12925,19850,0,10225,19550,0
-2700,-300,13062,16635,1950,11725,18650,0,9025,18350,0
-2700,-300,14120,19743,1909,12775,20450,0,10075,20150,0
-2700,-300,13148,16848,2331,11725,18050,0,9025,17750,0
-2700,-300,13703,17793,1588,13675,18050,0,10975,17750,0
-2700,-300,13556,18527,1772,13225,19250,0,10525,18950,0
-2700,-300,13356,17975,1891,12025,18650,0,9325,18350,0
-2700,-300,13095,16735,2031,12025,18650,0,9325,18350,0
-2700,-300,13908,19503,2143,12325,20450,0,9625,20150,0
-2700,-300,13503,18502,1871,13075,19250,0,10375,18950,0
-2700,-300,13508,18548,1909,11275,19850,0,8575,19550,0
-2700,-300,14128,19638,2381,12025,20450,0,9325,20150,0
-2700,-300,14190,19457,2369,12475,20450,0,9775,20150,0
-2700,-300,13280,17146,2251,11125,17450,0,8425,17150,0
-2700,-300,13535,18441,1798,13675,19250,0,10975,18950,0
-2700,-300,13826,19249,2117,13225,21050,0,10525,20750,0
-2700,-300,13209,17677,2196,12775,18650,0,10075,18350,0
-2700,-300,13511,18672,2134,13525,20450,0,10825,20150,0
-2700,-300,13570,18761,1895,13975,20450,0,11275,20150,0
-2700,-300,13153,16902,2174,10675,18050,0,7975,17750,0
-2700,-300,13479,16769,2239,12325,17450,0,9625,17150,0
-2700,-300,13883,19106,2183,13375,20450,0,10675,20150,0
-2700,-300,14033,19642,2319,11875,21050,0,9175,20750,0
-2700,-300,13747,19102,2281,12925,21050,0,10225,20750,0
-2700,-300,13999,19561,2289,11575,21050,0,8875,20750,0
-2700,-300,14046,19616,2258,11725,21050,0,9025,20750,0
-2700,-300,13807,19217,2357,12775,21050,0,10075,20750,0
-2700,-300,13800,19052,2273,13225,20450,0,10525,20150,0
-2700,-300,13768,19164,2231,13075,21050,0,10375,20750,0
-2700,-300,13561,18755,2048,13675,20450,0,10975,20150,0
-2700,-300,13832,19134,2402,12625,21050,0,9925,20750,0
-2700,-300,13922,19485,2335,11275,21050,0,8575,20750,0
-2700,-300,13626,18237,1847,13675,18650,0,10975,18350,0
-2700,-300,13795,19000,2306,13075,20450,0,10375,20150,0
-2700,-300,13355,17605,2218,12625,18050,0,9925,17750,0
-2700,-300,13992,19548,2356,11725,21650,0,9025,21350,0
-2700,-300,13828,19138,2338,10675,20450,0,7975,20150,0
-2700,-300,13329,17587,2210,12325,18650,0,9625,18350,0
-2700,-300,13322,17613,2213,12475,18650,0,9775,18350,0
-2700,-300,13268,16969,2379,11275,18050,0,8575,17750,0
-2400,-300,12889,15847,1706,12925,16250,0,10525,15950,0
-2400,-300,13125,16756,2123,8125,16250,0,5725,15950,0
-2400,-300,12925,16104,1629,12025,16850,0,9625,16550,0
-2400,-300,12955,16119,1588,12175,16850,0,9775,16550,0
-2400,-300,13135,16448,1564,13075,16850,0,10675,16550,0
-2400,-300,13065,16320,1747,12925,16850,0,10525,16550,0
-2400,-300,13062,16306,1813,12775,16850,0,10375,16550,0
-2400,-300,13156,16275,1873,12325,16850,0,9925,16550,0
-2400,-300,13821,17124,1442,13075,16850,0,10675,16550,0
-2400,-300,14116,18798,1551,15175,18050,0,12775,17750,0
-2400,-300,13947,18070,1392,14875,17450,0,12475,17150,0
-2400,-300,13181,16467,1810,9475,17450,0,7075,17150,0
