OFFSET_X,OFFSET_Y,SSLOC_X,SSLOC_Y,SSLOC_Z,SRC_X,SRC_Y,SRC_Z,RCV_X,RCV_Y,RCV_Z
-3000,-300,13685,18819,2305,5425,19850,0,2425,19550,0
-3000,-300,13698,17988,2856,7975,19250,0,4975,18950,0
-3000,-300,14302,19679,3028,9175,22250,0,6175,21950,0
-2700,-300,12825,17222,1809,6775,13850,0,4075,13550,0
-2700,-300,13952,16170,1723,9175,16250,0,6475,15950,0
-2700,-300,14039,15917,1352,23725,15650,0,21025,15350,0
-2700,-300,13438,15895,1531,20275,16250,0,17575,15950,0
-2700,-300,13446,15873,1602,20425,16250,0,17725,15950,0
-2700,-300,13841,16727,1430,9325,16850,0,6625,16550,0
-2700,-300,12773,16515,1600,8125,17450,0,5425,17150,0
-2700,-300,13407,16122,1601,19975,17450,0,17275,17150,0
-2700,-300,13983,17314,1757,9025,17450,0,6325,17150,0
-2700,-300,13051,16466,1831,10075,17450,0,7375,17150,0
-2700,-300,13759,16277,1656,20575,17450,0,17875,17150,0
-2700,-300,13138,15966,2142,8425,17450,0,5725,17150,0
-2700,-300,13444,16729,2948,9025,16850,0,6325,16550,0
-2700,-300,13456,16746,2748,9325,16850,0,6625,16550,0
-2700,-300,13305,18214,1982,9925,19250,0,7225,18950,0
-2700,-300,13363,17917,1469,6325,19850,0,3625,19550,0
-2700,-300,13624,18952,2284,9925,20450,0,7225,20150,0
-2700,-300,13476,17855,2612,9775,18650,0,7075,18350,0
-2700,-300,13768,18082,2841,8275,18650,0,5575,18350,0
-2700,-300,13881,18080,2911,7975,19250,0,5275,18950,0
-2700,-300,13704,17995,2667,9775,19250,0,7075,18950,0
-2700,-300,13803,19453,2473,10225,21050,0,7525,20750,0
-2700,-300,13631,17836,2705,10075,19850,0,7375,19550,0
-2700,-300,13782,19421,2468,10075,21050,0,7375,20750,0
-2700,-300,13990,18931,2638,10525,20450,0,7825,20150,0
-2700,-300,13449,17875,2293,9325,20450,0,6625,20150,0
-2700,-300,13834,18938,2630,10375,20450,0,7675,20150,0
-2700,-300,13963,19421,2582,10375,21050,0,7675,20750,0
-2700,-300,13876,19142,2739,9925,20450,0,7225,20150,0
-2700,-300,13944,19366,2593,10225,21050,0,7525,20750,0
-2700,-300,13951,18847,2639,10225,20450,0,7525,20150,0
-2700,-300,13888,19255,2525,9925,21050,0,7225,20750,0
-2700,-300,14090,19333,2723,10525,21050,0,7825,20750,0
-2700,-300,13745,19514,2303,10675,21650,0,7975,21350,0
-2700,-300,13696,19435,2280,10525,21650,0,7825,21350,0
-2700,-300,13738,19509,2396,10825,21650,0,8125,21350,0
-2700,-300,13937,18763,2789,10075,20450,0,7375,20150,0
-2700,-300,14069,19274,2722,10225,21050,0,7525,20750,0
-2700,-300,14123,19423,2719,10675,21050,0,7975,20750,0
-2700,-300,13845,19368,2419,10675,21650,0,7975,21350,0
-2700,-300,13906,19793,2139,11125,22250,0,8425,21950,0
-2700,-300,13888,19769,2191,10975,22250,0,8275,21950,0
-2700,-300,13959,19604,2415,10375,21650,0,7675,21350,0
-2700,-300,13978,19637,2432,10525,21650,0,7825,21350,0
-2700,-300,13511,17724,2517,8575,21050,0,5875,20750,0
-2700,-300,13839,18745,2571,8725,21050,0,6025,20750,0
-2700,-300,14016,19723,2147,11125,22250,0,8425,21950,0
-2700,-300,14161,19661,2657,10975,21650,0,8275,21350,0
-2700,-300,13858,19682,2388,10225,22250,0,7525,21950,0
-2700,-300,13860,19693,2601,9625,21650,0,6925,21350,0
-2700,-300,14086,19319,2711,10375,21050,0,7675,20750,0
-2700,-300,14128,19778,2870,8875,22250,0,6175,21950,0
-2700,-300,13928,19418,2588,9025,21050,0,6325,20750,0
-2400,-300,13081,16537,1835,6925,15650,0,4525,15350,0
-2400,-300,13099,16501,2089,8125,16250,0,5725,15950,0
-2400,-300,13186,16510,2020,7375,16250,0,4975,15950,0
